,Data Set,Target,Biological Group,Control,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,2-nudx,nudx,W1N0,,1.00000,0.42706,0.42706,0.17434,0.17434,1.81468,0.84834,0.84834,0.34633,0.34633,1.81468,0.84834,0.84834,0.34633,0.34633,6,20.47,0.60966,0.24889,
,2-nudx,nudx,W1N1,,0.00718,0.00475,0.00486,0.00194,0.00198,0.00822,0.01023,0.01029,0.00417,0.00420,0.00822,0.01023,0.01029,0.00417,0.00420,6,27.51,0.94344,0.38516,
,1-pyl6,pyl6,W0N0,,0.12548,0.03833,0.03845,0.02711,0.02719,0.20679,0.15768,0.15776,0.11150,0.11155,0.20679,0.15768,0.15776,0.11150,0.11155,2,30.86,0.46528,0.32900,
,1-pyl6,pyl6,W0N1,,0.05010,0.03674,0.03679,0.01500,0.01502,0.05108,0.04955,0.04958,0.02023,0.02024,0.05108,0.04955,0.04958,0.02023,0.02024,6,32.26,1.11692,0.45598,
,1-pyl6,pyl6,W1N0,,1.00000,0.36675,0.36675,0.14973,0.14973,1.81468,0.74970,0.74970,0.30606,0.30606,1.81468,0.74970,0.74970,0.30606,0.30606,6,27.70,0.55856,0.22803,
,1-pyl6,pyl6,W1N1,,0.44156,0.32848,0.32851,0.13410,0.13411,0.50537,0.65181,0.65183,0.26610,0.26611,0.50537,0.65181,0.65183,0.26610,0.26611,6,28.95,1.13297,0.46253,
,2-roxy13,roxy13,W0N0,,0.05751,0.04073,0.04098,0.02880,0.02898,0.09477,0.09428,0.09458,0.06667,0.06688,0.09477,0.09428,0.09458,0.06667,0.06688,2,32.46,1.38825,0.98164,
,2-roxy13,roxy13,W0N1,,0.90881,0.41373,0.41373,0.16890,0.16891,0.92659,0.72377,0.72378,0.29548,0.29548,0.92659,0.72377,0.72378,0.29548,0.29548,6,27.04,0.89237,0.36431,
,2-roxy13,roxy13,W1N0,,0.01598,0.00910,0.00928,0.00372,0.00379,0.02900,0.01741,0.01773,0.00711,0.00724,0.02900,0.01741,0.01773,0.00711,0.00724,6,34.97,1.11634,0.45574,
,2-roxy13,roxy13,W1N1,,1.00000,0.73528,0.73528,0.30018,0.30018,1.14452,1.47048,1.47048,0.60032,0.60032,1.14452,1.47048,1.47048,0.60032,0.60032,6,26.86,1.44130,0.58841,
